Sr.No,City,Pop.,Pop.,Pop.,Area,Density,Growth,surpassed,State
,,2000,2009,2010,[sq. km],per sq. km,[%],"1,00,000",(Bundesland)
,,,,,,,(2000-,,
,,,,,,,2010),,
1,Berlin,"33,82,169","34,42,675","34,60,725","887,70","3,899",2.32,1747,Berlin
2,Hamburg,"17,15,392","17,74,224","17,86,448","755,16","2,366",4.14,1787,Hamburg
3,Munich / Munchen,"12,10,223","13,30,440","13,53,186","310,69","4,355",11.81,1852,Bavaria
4,Cologne / Koln,"9,62,884","9,98,105","10,07,119","405,17","2,486",4.59,1852,North Rhine-Westphalia
5,Frankfurt am Main,"6,48,550","6,71,927","6,79,664","248,31","2,737",4.8,1875,Hesse
6,Stuttgart,"5,83,874","6,01,646","6,06,588","207,35","2,925",3.89,1874,Baden-Wurttemberg
7,Dusseldorf,"5,69,364","5,86,217","5,88,735","217,22","2,710",3.4,1882,North Rhine-Westphalia
8,Dortmund,"5,88,994","5,81,308","5,80,444","280,71","2,068",-1.45,1894,North Rhine-Westphalia
9,Essen,"5,95,243","5,76,259","5,74,635","210,32","2,732",-3.46,1896,North Rhine-Westphalia
10,Bremen,"5,39,403","5,47,685","5,47,340","325,42","1,682",1.47,1875,Bremen
11,Dresden,"4,77,807","5,17,052","5,23,058","328,31","1,593",9.47,1852,Saxony
12,Leipzig,"4,93,208","5,18,862","5,22,883","297,36","1,758",6.02,1871,Saxony
13,Hanover / Hannover,"5,15,001","5,20,966","5,22,686","204,14","2,560",1.49,1875,Lower Saxony
14,Nuremberg / Nurnberg,"4,88,400","5,03,673","5,05,664","186,38","2,713",3.53,1881,Bavaria
15,Duisburg,"5,14,915","4,91,931","4,89,599","232,83","2,103",-4.92,1904,North Rhine-Westphalia
16,Bochum,"3,91,147","3,76,319","3,74,737","145,66","2,573",-4.2,1904,North Rhine-Westphalia
17,Wuppertal,"3,66,434","3,51,050","3,49,721","168,39","2,077",-4.56,1884,North Rhine-Westphalia
18,Bonn,"3,02,247","3,19,841","3,24,899","141,22","2,301",7.49,1934,North Rhine-Westphalia
19,Bielefeld,"3,21,758","3,23,084","3,23,270","257,92","1,253",0.47,1930,North Rhine-Westphalia
20,Mannheim,"3,06,729","3,11,969","3,13,174","144,96","2,160",2.1,1897,Baden-Wurttemberg
21,Karlsruhe,"2,78,558","2,91,959","2,94,761","173,46","1,699",5.82,1901,Baden-Wurttemberg
22,Munster,"2,65,609","2,75,543","2,79,803","302,96",924,5.34,1915,North Rhine-Westphalia
23,Wiesbaden,"2,70,109","2,77,493","2,75,976","203,93","1,353",2.17,1905,Hesse
24,Augsburg,"2,54,982","2,63,646","2,64,708","146,84","1,803",3.81,1909,Bavaria
25,Aachen,"2,44,386","2,58,380","2,58,664","160,84","1,608",5.84,1888,North Rhine-Westphalia
26,Monchengladbach,"2,63,014","2,58,251","2,57,993","170,45","1,514",-1.91,1921,North Rhine-Westphalia
27,Gelsenkirchen,"2,78,695","2,59,744","2,57,981","104,94","2,458",-7.43,1903,North Rhine-Westphalia
28,Brunswick / Braunschweig,"2,45,816","2,47,400","2,48,867","192,15","1,295",1.24,1890,Lower Saxony
29,Chemnitz,"2,59,246","2,43,089","2,43,248","220,84","1,101",-6.17,1883,Saxony
30,Kiel,"2,32,612","2,38,281","2,39,526","118,65","2,019",2.97,1898,Schleswig-Holstein
31,Krefeld,"2,39,916","2,35,414","2,35,076","137,75","1,707",-2.02,1888,North Rhine-Westphalia
32,Halle,"2,47,736","2,32,323","2,32,963","135,02","1,725",-5.96,1890,Saxony-Anhalt
33,Magdeburg,"2,31,450","2,30,456","2,31,549","200,99","1,152",0.04,1882,Saxony-Anhalt
34,Freiburg,"2,05,102","2,21,924","2,24,191","153,06","1,465",9.31,1934,Baden-Wurttemberg
35,Oberhausen,"2,22,151","2,14,024","2,12,945","77,11","2,762",-4.14,1914,North Rhine-Westphalia
